2025-01-01T02:03:01.724289  17208	18.938	18.943	22.967	23.048	18.132	27.319	24.256	23.370	21.516	30.864	50.193	50.161	23.407	2717.632	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:02.924306  17209	18.857	18.935	23.209	22.886	18.132	27.238	23.934	23.692	21.516	31.106	50.182	50.242	23.246	2739.835	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:04.124468  17210	19.018	18.943	23.289	22.886	18.374	27.238	24.095	23.612	21.678	31.026	50.164	50.161	23.487	2719.026	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:05.324643  17211	19.018	18.951	23.289	23.048	18.132	27.560	24.176	23.531	21.839	30.945	50.172	50.242	23.326	2700.610	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:06.524475  17212	19.179	18.974	23.128	23.048	18.132	27.319	24.095	23.853	21.678	30.945	50.170	50.403	23.246	2643.296	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:07.724666  17213	19.099	18.986	23.209	23.128	18.293	27.238	24.337	23.612	21.678	30.703	50.194	50.242	23.326	2612.271	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:08.924578  17214	19.099	18.997	23.209	23.128	18.051	27.319	24.015	23.289	21.597	31.106	50.207	50.161	23.407	2584.119	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:10.124602  17215	18.857	18.983	23.370	22.967	18.454	27.238	24.095	23.692	21.516	31.106	50.202	50.242	23.326	2619.804	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:11.324603  17216	18.857	18.971	23.128	23.048	18.051	27.560	24.015	23.531	21.436	31.187	50.214	50.242	23.246	2651.537	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:12.524724  17217	18.857	18.959	23.128	23.209	18.374	27.238	23.934	23.773	21.678	30.945	50.225	50.323	23.326	2680.197	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:13.724757  17218	19.018	18.965	22.886	22.967	18.374	27.319	24.256	23.209	21.436	30.945	50.235	50.242	23.326	2665.365	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:14.924737  17219	18.938	18.963	23.128	23.048	18.293	27.319	24.418	23.370	21.839	31.187	50.235	50.161	23.407	2672.686	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:16.124800  17220	19.099	18.976	23.289	22.886	18.374	27.319	24.337	23.773	21.275	30.945	50.228	50.242	23.326	2638.431	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:17.324890  17221	18.857	18.964	23.048	22.967	17.971	27.238	24.256	23.451	21.436	31.026	50.213	50.161	23.487	2668.947	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:18.524858  17222	18.857	18.954	23.209	22.806	18.132	27.238	24.418	23.451	21.678	30.945	50.216	50.161	23.326	2696.027	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:19.725025  17223	19.018	18.960	22.967	22.806	18.374	27.560	24.498	23.853	21.436	30.864	50.219	50.242	23.407	2679.770	0	0	0	0.00	-135.000	-135.000	225.000	36.527
