Delta_T: -643 min, Count: 521, Mean PWV Diff (%): 26.21, Std Dev: 31.99
Delta_T: -638 min, Count: 521, Mean PWV Diff (%): 26.12, Std Dev: 31.82
Delta_T: -633 min, Count: 521, Mean PWV Diff (%): 26.07, Std Dev: 31.72
Delta_T: -628 min, Count: 521, Mean PWV Diff (%): 26.06, Std Dev: 31.65
Delta_T: -623 min, Count: 521, Mean PWV Diff (%): 25.99, Std Dev: 31.52
Delta_T: -618 min, Count: 521, Mean PWV Diff (%): 25.85, Std Dev: 31.29
Delta_T: -613 min, Count: 521, Mean PWV Diff (%): 25.59, Std Dev: 30.99
Delta_T: -608 min, Count: 521, Mean PWV Diff (%): 25.30, Std Dev: 30.71
Delta_T: -598 min, Count: 520, Mean PWV Diff (%): 25.36, Std Dev: 30.53
Delta_T: -593 min, Count: 520, Mean PWV Diff (%): 25.30, Std Dev: 30.43
Delta_T: -588 min, Count: 520, Mean PWV Diff (%): 25.39, Std Dev: 30.37
Delta_T: -583 min, Count: 520, Mean PWV Diff (%): 25.40, Std Dev: 30.24
Delta_T: -578 min, Count: 520, Mean PWV Diff (%): 25.38, Std Dev: 30.06
Delta_T: -573 min, Count: 520, Mean PWV Diff (%): 25.36, Std Dev: 29.90
Delta_T: -568 min, Count: 520, Mean PWV Diff (%): 25.31, Std Dev: 29.77
Delta_T: -563 min, Count: 520, Mean PWV Diff (%): 25.36, Std Dev: 29.60
Delta_T: -557 min, Count: 520, Mean PWV Diff (%): 25.40, Std Dev: 29.31
Delta_T: -552 min, Count: 520, Mean PWV Diff (%): 25.36, Std Dev: 28.95
Delta_T: -547 min, Count: 520, Mean PWV Diff (%): 25.12, Std Dev: 28.66
Delta_T: -538 min, Count: 523, Mean PWV Diff (%): 25.37, Std Dev: 28.27
Delta_T: -533 min, Count: 523, Mean PWV Diff (%): 25.48, Std Dev: 28.13
Delta_T: -528 min, Count: 523, Mean PWV Diff (%): 25.54, Std Dev: 28.03
Delta_T: -523 min, Count: 523, Mean PWV Diff (%): 25.53, Std Dev: 27.81
Delta_T: -518 min, Count: 523, Mean PWV Diff (%): 25.40, Std Dev: 27.59
Delta_T: -513 min, Count: 523, Mean PWV Diff (%): 25.34, Std Dev: 27.34
Delta_T: -508 min, Count: 523, Mean PWV Diff (%): 25.34, Std Dev: 27.11
Delta_T: -503 min, Count: 523, Mean PWV Diff (%): 25.39, Std Dev: 26.83
Delta_T: -498 min, Count: 523, Mean PWV Diff (%): 25.33, Std Dev: 26.55
Delta_T: -493 min, Count: 523, Mean PWV Diff (%): 25.32, Std Dev: 26.32
Delta_T: -488 min, Count: 523, Mean PWV Diff (%): 25.11, Std Dev: 26.05
Delta_T: -418 min, Count: 521, Mean PWV Diff (%): 24.78, Std Dev: 22.86
Delta_T: -413 min, Count: 521, Mean PWV Diff (%): 24.85, Std Dev: 22.65
Delta_T: -408 min, Count: 521, Mean PWV Diff (%): 24.84, Std Dev: 22.34
Delta_T: -403 min, Count: 521, Mean PWV Diff (%): 24.88, Std Dev: 22.25
Delta_T: -398 min, Count: 521, Mean PWV Diff (%): 24.94, Std Dev: 22.12
Delta_T: -393 min, Count: 521, Mean PWV Diff (%): 24.92, Std Dev: 21.87
Delta_T: -388 min, Count: 521, Mean PWV Diff (%): 24.93, Std Dev: 21.60
Delta_T: -383 min, Count: 521, Mean PWV Diff (%): 24.82, Std Dev: 21.40
Delta_T: -378 min, Count: 521, Mean PWV Diff (%): 24.80, Std Dev: 21.27
Delta_T: -373 min, Count: 521, Mean PWV Diff (%): 24.67, Std Dev: 21.25
Delta_T: -367 min, Count: 521, Mean PWV Diff (%): 24.38, Std Dev: 21.07
Delta_T: -358 min, Count: 521, Mean PWV Diff (%): 24.51, Std Dev: 20.80
Delta_T: -353 min, Count: 521, Mean PWV Diff (%): 24.50, Std Dev: 20.63
Delta_T: -348 min, Count: 521, Mean PWV Diff (%): 24.51, Std Dev: 20.32
Delta_T: -343 min, Count: 521, Mean PWV Diff (%): 24.57, Std Dev: 20.03
Delta_T: -338 min, Count: 521, Mean PWV Diff (%): 24.50, Std Dev: 19.62
Delta_T: -333 min, Count: 521, Mean PWV Diff (%): 24.41, Std Dev: 19.25
Delta_T: -328 min, Count: 521, Mean PWV Diff (%): 24.30, Std Dev: 18.85
Delta_T: -323 min, Count: 521, Mean PWV Diff (%): 24.36, Std Dev: 18.55
Delta_T: -318 min, Count: 521, Mean PWV Diff (%): 24.38, Std Dev: 18.26
Delta_T: -313 min, Count: 521, Mean PWV Diff (%): 24.33, Std Dev: 17.88
Delta_T: -308 min, Count: 521, Mean PWV Diff (%): 24.07, Std Dev: 17.47
Delta_T: -298 min, Count: 521, Mean PWV Diff (%): 24.20, Std Dev: 16.90
Delta_T: -293 min, Count: 521, Mean PWV Diff (%): 24.20, Std Dev: 16.74
Delta_T: -288 min, Count: 521, Mean PWV Diff (%): 24.20, Std Dev: 16.49
Delta_T: -283 min, Count: 521, Mean PWV Diff (%): 24.16, Std Dev: 16.24
Delta_T: -278 min, Count: 521, Mean PWV Diff (%): 24.08, Std Dev: 16.06
Delta_T: -273 min, Count: 521, Mean PWV Diff (%): 24.05, Std Dev: 15.82
Delta_T: -268 min, Count: 521, Mean PWV Diff (%): 23.95, Std Dev: 15.60
Delta_T: -263 min, Count: 521, Mean PWV Diff (%): 23.86, Std Dev: 15.35
Delta_T: -258 min, Count: 521, Mean PWV Diff (%): 23.85, Std Dev: 15.14
Delta_T: -253 min, Count: 521, Mean PWV Diff (%): 23.83, Std Dev: 14.94
Delta_T: -248 min, Count: 521, Mean PWV Diff (%): 23.55, Std Dev: 14.63
Delta_T: -178 min, Count: 520, Mean PWV Diff (%): 23.77, Std Dev: 11.58
Delta_T: -173 min, Count: 520, Mean PWV Diff (%): 23.78, Std Dev: 11.35
Delta_T: -168 min, Count: 520, Mean PWV Diff (%): 23.84, Std Dev: 11.25
Delta_T: -163 min, Count: 520, Mean PWV Diff (%): 23.89, Std Dev: 11.16
Delta_T: -158 min, Count: 520, Mean PWV Diff (%): 23.84, Std Dev: 11.06
Delta_T: -153 min, Count: 520, Mean PWV Diff (%): 23.87, Std Dev: 10.99
Delta_T: -148 min, Count: 520, Mean PWV Diff (%): 23.90, Std Dev: 10.94
Delta_T: -143 min, Count: 520, Mean PWV Diff (%): 23.95, Std Dev: 10.85
Delta_T: -138 min, Count: 520, Mean PWV Diff (%): 23.97, Std Dev: 10.86
Delta_T: -133 min, Count: 520, Mean PWV Diff (%): 23.92, Std Dev: 10.90
Delta_T: -128 min, Count: 520, Mean PWV Diff (%): 23.75, Std Dev: 10.90
Delta_T: -118 min, Count: 519, Mean PWV Diff (%): 23.88, Std Dev: 10.99
Delta_T: -113 min, Count: 519, Mean PWV Diff (%): 23.90, Std Dev: 10.99
Delta_T: -108 min, Count: 519, Mean PWV Diff (%): 23.89, Std Dev: 11.03
Delta_T: -103 min, Count: 519, Mean PWV Diff (%): 23.89, Std Dev: 11.19
Delta_T: -98 min, Count: 519, Mean PWV Diff (%): 23.91, Std Dev: 11.37
Delta_T: -93 min, Count: 519, Mean PWV Diff (%): 23.95, Std Dev: 11.59
Delta_T: -88 min, Count: 519, Mean PWV Diff (%): 23.90, Std Dev: 11.76
Delta_T: -83 min, Count: 519, Mean PWV Diff (%): 24.06, Std Dev: 12.18
Delta_T: -78 min, Count: 519, Mean PWV Diff (%): 24.06, Std Dev: 12.44
Delta_T: -73 min, Count: 519, Mean PWV Diff (%): 24.05, Std Dev: 12.60
Delta_T: -68 min, Count: 519, Mean PWV Diff (%): 23.83, Std Dev: 12.79
Delta_T: -58 min, Count: 286, Mean PWV Diff (%): 23.85, Std Dev: 15.93
Delta_T: -53 min, Count: 286, Mean PWV Diff (%): 23.93, Std Dev: 16.25
Delta_T: -48 min, Count: 286, Mean PWV Diff (%): 23.93, Std Dev: 16.30
Delta_T: -43 min, Count: 286, Mean PWV Diff (%): 24.00, Std Dev: 16.58
Delta_T: -38 min, Count: 286, Mean PWV Diff (%): 23.98, Std Dev: 16.91
Delta_T: -33 min, Count: 286, Mean PWV Diff (%): 23.84, Std Dev: 17.06
Delta_T: -28 min, Count: 286, Mean PWV Diff (%): 23.85, Std Dev: 17.22
Delta_T: -23 min, Count: 286, Mean PWV Diff (%): 23.79, Std Dev: 17.34
Delta_T: -18 min, Count: 286, Mean PWV Diff (%): 23.84, Std Dev: 17.59
Delta_T: -13 min, Count: 286, Mean PWV Diff (%): 23.76, Std Dev: 17.73
Delta_T: -8 min, Count: 286, Mean PWV Diff (%): 23.55, Std Dev: 17.73
Delta_T: 61 min, Count: 520, Mean PWV Diff (%): 24.72, Std Dev: 18.66
Delta_T: 66 min, Count: 519, Mean PWV Diff (%): 24.85, Std Dev: 18.94
Delta_T: 71 min, Count: 519, Mean PWV Diff (%): 25.00, Std Dev: 19.19
Delta_T: 76 min, Count: 519, Mean PWV Diff (%): 25.07, Std Dev: 19.47
Delta_T: 81 min, Count: 519, Mean PWV Diff (%): 24.97, Std Dev: 19.65
Delta_T: 86 min, Count: 519, Mean PWV Diff (%): 24.96, Std Dev: 19.75
Delta_T: 91 min, Count: 519, Mean PWV Diff (%): 24.99, Std Dev: 19.92
Delta_T: 96 min, Count: 519, Mean PWV Diff (%): 24.99, Std Dev: 20.20
Delta_T: 101 min, Count: 519, Mean PWV Diff (%): 24.91, Std Dev: 20.25
Delta_T: 106 min, Count: 519, Mean PWV Diff (%): 24.73, Std Dev: 20.36
