Delta_T: -48 min, Count: 270, Mean PWV Diff (%): 24.15, Std Dev: 10.24
Delta_T: -43 min, Count: 265, Mean PWV Diff (%): 24.29, Std Dev: 9.44
Delta_T: -38 min, Count: 267, Mean PWV Diff (%): 23.76, Std Dev: 9.74
Delta_T: -33 min, Count: 267, Mean PWV Diff (%): 23.96, Std Dev: 9.93
Delta_T: -28 min, Count: 264, Mean PWV Diff (%): 24.33, Std Dev: 9.53
Delta_T: -23 min, Count: 263, Mean PWV Diff (%): 24.57, Std Dev: 9.76
Delta_T: -18 min, Count: 267, Mean PWV Diff (%): 24.29, Std Dev: 9.87
Delta_T: -13 min, Count: 265, Mean PWV Diff (%): 23.87, Std Dev: 9.75
Delta_T: -8 min, Count: 266, Mean PWV Diff (%): 23.84, Std Dev: 9.79
Delta_T: 61 min, Count: 496, Mean PWV Diff (%): 23.63, Std Dev: 14.19
Delta_T: 66 min, Count: 485, Mean PWV Diff (%): 23.75, Std Dev: 12.96
Delta_T: 71 min, Count: 487, Mean PWV Diff (%): 23.99, Std Dev: 14.49
Delta_T: 76 min, Count: 490, Mean PWV Diff (%): 23.88, Std Dev: 14.78
Delta_T: 81 min, Count: 485, Mean PWV Diff (%): 22.97, Std Dev: 13.66
Delta_T: 86 min, Count: 488, Mean PWV Diff (%): 23.91, Std Dev: 14.84
Delta_T: 91 min, Count: 483, Mean PWV Diff (%): 23.69, Std Dev: 13.47
Delta_T: 96 min, Count: 490, Mean PWV Diff (%): 23.89, Std Dev: 14.56
Delta_T: 101 min, Count: 491, Mean PWV Diff (%): 23.69, Std Dev: 14.97
Delta_T: 106 min, Count: 483, Mean PWV Diff (%): 23.99, Std Dev: 14.02
