DATE(YYYYMMDD),START TIME(HHMMSS.Microsec),END TIME(HHMMSS.Microsec),TIME PASSED (sec),PWV TOTAL zenith,PWV TOTAL line-of-sight,zenith angle,standard_deviation_of_residuals,Nscale_troposphere_h2o
20260210,130427.687293,130427.687293,0.0,839.51 um_pwv,1024.85 um_pwv,35.0,2.237 K,1.97862
20260210,130428.644400,130428.644400,0.0,835.894 um_pwv,1020.44 um_pwv,35.0,2.151 K,1.97008
20260210,130429.608610,130429.608610,0.0,831.603 um_pwv,1015.2 um_pwv,35.0,2.1 K,1.95994
20260210,130430.564284,130430.564284,0.0,827.263 um_pwv,1009.9 um_pwv,35.0,2.094 K,1.94968
20260210,130431.528684,130431.528684,0.0,827.537 um_pwv,1010.24 um_pwv,35.0,2.03 K,1.95033
20260210,130432.484409,130432.484409,0.0,823.311 um_pwv,1005.08 um_pwv,35.0,1.939 K,1.94034
20260210,130433.448054,130433.448054,0.0,826.018 um_pwv,1008.38 um_pwv,35.0,2.122 K,1.94674
20260210,130434.406415,130434.406415,0.0,824.299 um_pwv,1006.28 um_pwv,35.0,2.233 K,1.94268
20260210,130435.367881,130435.367881,0.0,827.222 um_pwv,1009.85 um_pwv,35.0,2.303 K,1.94959
20260210,130436.325853,130436.325853,0.0,830.342 um_pwv,1013.66 um_pwv,35.0,2.405 K,1.95696
20260210,130437.284094,130437.284094,0.0,832.218 um_pwv,1015.95 um_pwv,35.0,2.445 K,1.96139
20260210,130438.244846,130438.244846,0.0,833.616 um_pwv,1017.66 um_pwv,35.0,2.514 K,1.96470
20260210,130439.204685,130439.204685,0.0,833.875 um_pwv,1017.97 um_pwv,35.0,2.405 K,1.96531
20260210,130440.165848,130440.165848,0.0,835.974 um_pwv,1020.54 um_pwv,35.0,2.401 K,1.97027
20260210,130441.124524,130441.124524,0.0,834.934 um_pwv,1019.27 um_pwv,35.0,2.243 K,1.96781
20260210,130442.084706,130442.084706,0.0,836.584 um_pwv,1021.28 um_pwv,35.0,2.181 K,1.97171
20260210,130443.045562,130443.045562,0.0,835.676 um_pwv,1020.17 um_pwv,35.0,1.997 K,1.96957
20260210,130444.006656,130444.006656,0.0,836.646 um_pwv,1021.36 um_pwv,35.0,1.904 K,1.97186
20260210,130444.964964,130444.964964,0.0,838.631 um_pwv,1023.78 um_pwv,35.0,1.9 K,1.97655
20260210,130445.924741,130445.924741,0.0,838.456 um_pwv,1023.57 um_pwv,35.0,1.786 K,1.97613
20260210,130446.886620,130446.886620,0.0,840.641 um_pwv,1026.23 um_pwv,35.0,1.835 K,1.98130
20260210,130447.846100,130447.846100,0.0,841.742 um_pwv,1027.58 um_pwv,35.0,1.958 K,1.98390
20260210,130448.804826,130448.804826,0.0,841.077 um_pwv,1026.77 um_pwv,35.0,1.823 K,1.98233
20260210,130449.767868,130449.767868,0.0,844.947 um_pwv,1031.49 um_pwv,35.0,2.062 K,1.99147
20260210,130450.731178,130450.731178,0.0,846.241 um_pwv,1033.07 um_pwv,35.0,2.072 K,1.99453
20260210,130451.688630,130451.688630,0.0,847.537 um_pwv,1034.65 um_pwv,35.0,2.223 K,1.99759
20260210,130452.647762,130452.647762,0.0,849.369 um_pwv,1036.89 um_pwv,35.0,2.373 K,2.00192
20260210,130453.605243,130453.605243,0.0,849.453 um_pwv,1036.99 um_pwv,35.0,2.342 K,2.00212
20260210,130454.564574,130454.564574,0.0,847.433 um_pwv,1034.52 um_pwv,35.0,2.261 K,1.99735
20260210,130455.524519,130455.524519,0.0,847.747 um_pwv,1034.91 um_pwv,35.0,2.365 K,1.99809
20260210,130456.486110,130456.486110,0.0,843.093 um_pwv,1029.23 um_pwv,35.0,2.211 K,1.98709
20260210,130457.445678,130457.445678,0.0,838.507 um_pwv,1023.63 um_pwv,35.0,2.151 K,1.97625
20260210,130458.405979,130458.405979,0.0,836.016 um_pwv,1020.59 um_pwv,35.0,2.132 K,1.97037
20260210,130459.362931,130459.362931,0.0,830.782 um_pwv,1014.2 um_pwv,35.0,2.002 K,1.95800
20260210,130500.323508,130500.323508,0.0,828.059 um_pwv,1010.87 um_pwv,35.0,2.007 K,1.95156
20260210,130501.288228,130501.288228,0.0,827.009 um_pwv,1009.59 um_pwv,35.0,2.017 K,1.94908
20260210,130502.245068,130502.245068,0.0,824.929 um_pwv,1007.05 um_pwv,35.0,2.07 K,1.94417
